LBL,Hypoxia_grp,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,              Family,             Order ,Class ,TSN,NODC_CODE
ilyanassa obsoleta,Gastropod,gastropod,gastropod,Gastropods,gastropod,Nassariidae,Neogastropoda,Gastropoda,,
Kurtziella atrostyla,Gastropod,gastropod,gastropod,Gastropods,gastropod,Mangeliidae,Neogastropoda,Gastropoda,74804,
Kurtziella cerina,Gastropod,gastropod,gastropod,Gastropods,gastropod,Mangeliidae,Neogastropoda,Gastropoda,74806,
laevapex fuscus,Gastropod,gastropod,gastropod,Gastropods,gastropod,Planorbidae,Planorboidea,Gastropoda,,
laevapex spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Planorbidae,Planorboidea,Gastropoda,,
lioplax subcarinata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Viviparidae,Architaenioglossa,Gastropoda,,
Littoridinops tenuipes,Gastropod,gastropod,gastropod,Gastropods,gastropod,Hydrobiidae,Littorinimorpha,Gastropoda,70528,
lymnaeidae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Lymnaeidae,Heterobranchia,Gastropoda,,
Mangelia plicosa,Gastropod,gastropod,gastropod,Gastropods,gastropod,Mangeliidae,Neogastropoda,Gastropoda,74568,
Menetus dilatatus,Gastropod,gastropod,gastropod,Gastropods,gastropod,Planorboidea,Pulmonata,Gastropoda,205210,
Nassarius spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Nassaridae,caenogastropoda,Gastropoda,#N/A,
Nassarius trivittatus,Gastropod,gastropod,gastropod,Gastropods,gastropod,Nassaridae,caenogastropoda,Gastropoda,74109,
Nassarius vibex,Gastropod,gastropod,gastropod,Gastropods,gastropod,Nassaridae,caenogastropoda,Gastropoda,74107,
naticidae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Naticidae,Littorinimorpha,Gastropoda,,
Nudibranchia,Gastropod,gastropod,gastropod,Gastropods,gastropod,.,Nudibranchia,Gastropoda,78156,
Odostomia engonia,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterostropha,Gastropoda,75504,
Odostomia spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterostropha,Gastropoda,#N/A,
physa spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Physidae,Heterobranchia,Gastropoda,,
physella spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Physidae,Heterobranchia,Gastropoda,,
planorbidae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Planorbidae,Planorboidea,Gastropoda,,
pleurocera spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pleuroceridae,Cerithioidae,Gastropoda,,
Polinices duplicatus,Gastropod,gastropod,gastropod,Gastropods,gastropod,Naticidae,Littorinimorpha,Gastropoda,72918,
polinices spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Naticidae,Littorinimorpha,Gastropoda,,
Prunum roscidum,Gastropod,gastropod,gastropod,Gastropods,gastropod,Marginellidae,Neogastropoda,Gastropoda,74409,
Pyramidellidae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterostropha,Gastropoda,75446,
Rictaxis punctostriatus,Gastropod,gastropod,gastropod,Gastropods,gastropod,Acteocinidae,Heterostropha,Gastropoda,76083,
Sayella chesapeakea,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterostropha,Gastropoda,70946,
seila adamsi,Gastropod,gastropod,gastropod,Gastropods,gastropod,Cerithiopsidae,caenogastropoda,Gastropoda,,
skeneopsis planorbis,Gastropod,gastropod,gastropod,Gastropods,gastropod,Skeneopsidae,Littorinimorpha,Gastropoda,,
terebra dislocata,Gastropod,gastropod,gastropod,Gastropods,gastropod,Terebridae,Neogastropoda,Gastropoda,,
Turbonilla interrupta,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterostropha,Gastropoda,75687,
Turbonilla spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Pyramidellidae,Heterostropha,Gastropoda,#N/A,
turridae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Turridae    ,Neogastropoda,Gastropoda,,
urosalpinx cinerea,Gastropod,gastropod,gastropod,Gastropods,gastropod,Muricidae,caenogastropoda,Gastropoda,,
valvata sincera,Gastropod,gastropod,gastropod,Gastropods,gastropod,Valvatidae,Valvatoidea,Gastropoda,,
valvata spp.,Gastropod,gastropod,gastropod,Gastropods,gastropod,Valvatidae,Valvatoidea,Gastropoda,,
viviparidae,Gastropod,gastropod,gastropod,Gastropods,gastropod,Viviparidae,caenogastropoda,Gastropoda,,
viviparus georgianus,Gastropod,gastropod,gastropod,Gastropods,gastropod,Viviparidae,caenogastropoda,Gastropoda,,
Doridella obscura,Gastropod,gastropod,gastropod,Gastropods,nudibranch,Corambidae,Nudibranchia,Gastropoda,78439,
Onchidoris aspersa,Gastropod,gastropod,gastropod,Gastropods,nudibranch,Onchidorididae,Nudibranchia,Gastropoda,78377,
Edwardsia elegans,.,gelatinous_zooplankton,gelatinous_zooplankton,gelatinous_zooplankton,cnidaria,Edwardsiidae,Actiniaria ,Anthozoa,52489,
holothuroidea,.,holothurian,holothurian,holothurian,holothurian,.,.,Holothuroidea,,
pentamera pulcherrima,.,holothurian,holothurian,holothurian,holothurian,Phyllophoridae,Dendrochirotida,Holothuroidea,,
thyonella pervicax,.,holothurian,holothurian,holothurian,holothurian,Cucumariidae,Dendrochirotida,Holothuroidea,,
ablabesmyia mallochi,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Ablabesmyia parajanta,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,128112,
Ablabesmyia spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
axarus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Chironomidae,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,127917,
Chironomidae pupae,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Chironomini,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,129229,
Chironomus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta         ,#N/A,
Cladotanytarsus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cladotanytarsus spp. b epler,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cladotanytarsus viridiventris,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129877,
Clinotanypus pinguis,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,127998,
Coelotanypus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cricotopus bicinctus,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cricotopus sylvestris,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,128645,
cricotopus/orthocladius grp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cryptochironomus fulvus,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129376,
Cryptochironomus parafu,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
cryptochironomus parafulvus,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Cryptochironomus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,#N/A,
dicrotendipes neomodestus,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
Dicrotendipes nervosus,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,129452,
dicrotendipes spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta       ,,
Epoicocladius spp.,.,insect,chironomid,insect,chironomid,Chironomidae         ,Diptera          ,Insecta       ,#N/A,
Glyptotendipes spp.,.,insect,chironomid,insect,chironomid,Chironomidae      ,Diptera          ,Insecta       ,#N/A,
kiefferulus spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
labrundinia spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
lipiniella spp.,.,insect,chironomid,insect,chironomid,Chironomidae,Diptera,Insecta,,
Nanocladius distinctus,.,insect,chironomid,insect,chironomid,Chironomidae          ,Diptera          ,Insecta       ,128853,
